Ab. Y Paleteria La Chaparrita,1,4.0,N/A,23.6345012367459,-102.552784122527,Taylor Lake Village,TX 
Tedi's Olde Tyme Ice Cream,19,3.5,$,29.8956344,-81.3130679,St. Augustine,FL
Fudge Buckets,17,3.5,$,29.8965970426798,-81.3133516162634,St. Augustine,FL
Frozen Flamingo,2,3.0,$,29.90022820001,-81.3146933913231,Saint Augustine,FL
Castillo Ice Cream,1,5.0,$,29.896218,-81.3123,St. Augustine,FL
Dairy Queen,28,2.0,$,29.9031105041504,-81.3173980712891,Saint Augustine,FL
Dairy Queen,8,2.0,$,29.6614322662354,-81.2887420654297,Saint Augustine,FL
Planet Ice Cream,2,3.0,N/A,29.4810084162947,-81.1276887729764,Flagler Beach,FL
Baskin-Robbins,1,4.0,N/A,29.5528087615967,-81.2277145385742,Palm Coast,FL
Gator Bob's Trading Post,3,4.0,$$,29.908121,-81.318917,St. Augustine,FL
Sweet Treats,1,1.0,N/A,29.8444271087646,-81.2676544189453,Saint Augustine,FL
Baskin Robbins,1,2.0,N/A,29.8793754577637,-81.3243713378906,Saint Augustine,FL
Heberts Caboose,8,5.0,$,30.5988838829748,-103.886045109787,Fort Davis,TX
Frama at Tumbleweed Laundry,64,4.0,$,30.31110227108,-104.022753015161,Marfa,TX
Santanas 99 Cent Store & More,2,4.0,N/A,30.3581886025193,-103.659232723681,Alpine,TX
Fort Davis Drug Store,1,2.0,$,30.595902,-103.887364,Fort Davis,TX
Dairy Queen,29,1.5,$,30.8940849,-102.8826689,Fort Stockton,TX
Clear River Pecan Company,114,4.5,$,30.27473,-98.87152,Fredericksburg,TX
Kelani Yogürt,26,3.0,$$,30.27235,-98.8689519,Fredericksburg,TX
Grunt's,3,5.0,N/A,30.7493278683515,-99.2310326361882,Mason,TX
Dairy Queen of Fredericksburg,15,2.0,$,30.26601,-98.85886,Fredericksburg,TX
Dairy Queen,2,1.0,N/A,30.3055553436279,-98.8916168212891,Fredericksburg,TX
Scoop & Score,79,5.0,$,30.5183617420555,-97.7906447595262,Cedar Park,TX
Vicecreme,26,5.0,$,30.40615,-97.87492,Austin,TX
Frost Gelato,41,5.0,$,30.3091927005026,-97.9406736221985,Bee Cave,TX
Happy Scoops,12,5.0,$,30.7573288257272,-98.2279064933932,Burnet,TX
Andy's Frozen Custard,29,4.5,$$,30.5242147162568,-97.8311918912315,Cedar Park,TX
Creamistry,51,3.5,$$,30.348148,-97.965917,Lakeway,TX
Snow Monster - Lakeway,14,5.0,$,30.3547759281667,-97.9613371565938,Lakeway,TX
Front Porch Frozen Desserts,178,4.5,$,30.4775878328641,-97.6715253045074,Round Rock,TX
Lick Honest Ice Creams,1045,4.5,$,30.2556331843404,-97.7625557304413,Austin,TX
Menchie's Frozen Yogurt,42,4.5,$,30.4760955797797,-97.8023991733789,Austin,TX
Froyoz,65,4.5,$,30.52269,-97.82213,Cedar Park,TX
Menchie's Quinlan Crossing,26,4.5,$,30.3890539,-97.8837419,Austin,TX
Hula Cowgirl Shaved Ice,77,5.0,$,30.644391,-97.677018,Georgetown,TX
Amy's Ice Creams,36,4.5,$,30.309243919722,-97.9393606871719,Austin,TX
Shake's Frozen Custard,72,4.0,$,30.475751,-97.840482,Cedar Park,TX
Tutti Frutti Frozen Yogurt,73,4.5,$,30.446445205443,-97.7869062231943,Austin,TX
Amy's Ice Creams,89,4.5,$,30.4438519,-97.7843732,Austin,TX
Snow Monster,397,4.5,$,30.3823114202971,-97.6880223761269,Austin,TX
Andy's Frozen Custard,124,4.5,$,30.5190269499916,-97.6562055113554,Round Rock,TX
Dolce Neve,488,4.5,$,30.247625,-97.755404,Austin,TX
D'lites of North Austin,49,4.5,$,30.3726825714111,-97.7558670043945,Austin,TX
Fresh & Fruiti Frozen Yogurt,11,3.5,$,30.573716,-98.274529,Marble Falls,TX
Caffe Yolly,93,4.5,$,30.4615457692503,-97.8164712380562,Austin,TX
Sweet Ritual,398,4.5,$,30.30608,-97.71523,Austin,TX
Berry Austin,140,4.5,$,30.264634,-97.744753,Austin,TX
Amy's Ice Creams,203,4.0,$,30.3910217287766,-97.7485145965439,Austin,TX
Cups & Cones,35,4.0,$,30.36917,-97.8926199,Austin,TX
Cow Tipping Creamery,129,4.0,$,30.2325477600098,-97.810920715332,Sunset Valley,TX
Froco,76,2.5,$,30.34276,-97.96979,Lakeway,TX
Frost - Austin,98,4.5,$,30.4029043267628,-97.7221589229641,Austin,TX
Lick Honest Ice Creams,206,4.5,$,30.3411422856792,-97.7383256978199,Austin,TX
The Yogurt Experience,89,4.0,$,30.55955,-97.68941,Round Rock,TX
Creamistry,34,3.0,$$,30.556543,-97.686897,Round Rock,TX
Amy's Ice Creams,315,4.5,$,30.2720075610766,-97.7544708294765,Austin,TX
D'Lites,115,4.5,$,30.223735,-97.839451,Austin,TX
Yogurtland,145,4.5,$,30.356771946275,-97.735315912896,Austin,TX
Tomunchi,165,4.0,$,30.412106,-97.69002,Austin,TX
Gelateria Gemelli,194,4.5,$$,30.2647018432617,-97.7321319580078,Austin,TX
Michoacana Natural Ice Cream,66,4.5,$,30.3690258957361,-97.706375289006,Austin,TX
Venezia Italian Gelato,170,4.5,$,30.250550374535,-97.7654993534088,Austin,TX
Spun Ice Cream,244,4.0,$$,30.26266,-97.72113,Austin,TX
Komana I Wana Hawaiian Shave Ice,9,5.0,$,30.3843153511383,-97.9422998428345,Austin,TX
Orange Leaf Frozen Yogurt,42,4.5,$,30.4975561877892,-97.7737763151526,Austin,TX
Moojo,213,4.0,$,30.2869604,-97.7418089,Austin,TX
Berry Cool,73,3.5,$,30.4813593839504,-97.8343610079579,Cedar Park,TX
The Tasty Spoon,59,5.0,$,30.25045,-97.7544999,Austin,TX
All Things Kids On The Square,28,4.0,$$$,30.6372699737549,-97.6767120361328,Georgetown,TX
Menchie's Frozen Yogurt,27,4.5,$,30.5248553546111,-97.8196920296386,Cedar Park,TX
Spun Ice Cream,21,5.0,$,30.406238,-97.720534,Austin,TX
Shake's Frozen Custard,40,4.0,$,30.6516151428223,-97.6821746826172,Georgetown,TX
Dairy Queen Stores,8,2.0,$,30.53567,-96.69121,Caldwell,TX
Dairy Queen,26,2.0,$,30.18159,-96.92829,Giddings,TX
Dairy Queen,5,1.5,N/A,30.65033,-97.0115,Rockdale,TX
Dairy Queen,7,3.0,$,30.8567407,-96.9891056,Cameron,TX
Old School Coffee & Creamery,1,5.0,$$,30.8520350419581,-96.9769244819824,Cameron,TX
Dairy Queen,1,4.0,N/A,30.5377502441406,-96.6941375732422,Caldwell,TX
Dairy Queen,9,2.0,$,30.8748241043285,-96.5946870478343,Hearne,TX
3 Spoons,25,4.0,$,30.72408,-95.55733,Huntsville,TX
Chiller Bee Frozen Yogurt,33,5.0,$$,30.3440801338583,-95.4812185224173,Conroe,TX
Chiller Bee- Montgomery,10,4.5,$,30.378289,-95.6439586,Montgomery,TX
Chiller Bee,20,4.5,$$,30.1762026,-95.5370469,The Woodlands,TX
Marble Slab Creamery,6,4.5,$,30.3590013153672,-95.5951295281006,Montgomery,TX
Sub Zero Ice Cream & Yogurt,13,4.5,$,30.2218261372833,-95.5672556270257,Magnolia,TX
Nonnie's Soda Fountain,41,4.5,$,30.09732,-95.61414,Tomball,TX
Buldogies,63,4.5,$,30.3512861596512,-95.577962435782,Conroe,TX
Culver's,26,4.0,$,30.332814,-95.482453,Conroe,TX
TCBY,7,4.5,$,30.22234,-95.56319,Magnolia,TX
Culver's,87,4.0,$,30.176555,-95.459028,The Woodlands,TX
Tropical Paradise,1,5.0,N/A,30.3937451541424,-95.617256462574,Montgomery,TX
Yogurt Worx,36,4.0,$,30.126263,-95.451874,The Woodlands,TX
Tutti Frutti,8,4.0,$,30.3155251,-95.47323,Conroe,TX
The Burger Boy,37,4.0,$,30.3123111724854,-95.4539260864258,Conroe,TX
Orange Leaf Frozen Yogurt,24,3.5,$$$,30.1787107903286,-95.5394106163756,The Woodlands,TX
U-Swirl,14,3.5,$,30.1421738,-95.5488968,Tomball,TX
TCBY,8,4.0,$,30.16745,-95.50302,The Woodlands,TX
Cold Stone Creamery,5,4.0,$,30.21959,-95.5674499,Magnolia,TX
Jordan's Sweet Shoppe,6,4.5,$$,30.1443727431776,-95.5481956399039,The Woodlands,TX
Marble Slab Creamery,7,3.5,$,30.1824245452881,-95.5360717773438,Spring,TX
Montgomery Original Snowballs,2,5.0,N/A,30.3909040242434,-95.6965546309948,Montgomery,TX
Dairy Queen,12,2.5,$,30.695054380616,-95.5527305603027,Huntsville,TX
I-CE-NY,11,4.0,$,30.1644605699059,-95.4557133838534,The Woodlands,TX
Orange Leaf Frozen Yogurt,14,3.0,$,30.16901,-95.45743,The Woodlands,TX
Heart & Soul Creamakery,3,5.0,$$$,30.15811,-95.46534,The Woodlands,TX
New Orleans Snoballs,2,3.0,$,30.3489742803804,-95.5711270143047,Conroe,TX
Menchie's Frozen Yogurt,1,5.0,N/A,30.33445,-95.47686,Conroe,TX
Baskin Robbins,6,2.5,$,30.210202,-95.52786,Spring,TX
Baskin Robins,5,3.5,$,30.1285,-95.4554672,Spring,TX
Tutti Frutti Frozen Yogurt,18,2.5,$,30.1234951,-95.4100113,Spring,TX
Baskin Robbins,2,1.0,N/A,30.3362636241283,-95.4684500811437,Conroe,TX
Dunkin Donuts & Baskin Robbins,33,1.5,$,30.2063694000244,-95.4637145996094,Conroe,TX
Marble Slab Creamery,11,2.5,$$,30.184955,-95.490087,The Woodlands,TX
Dairy Queen,44,2.0,$,30.1413073500796,-95.468690560567,The Woodlands,TX
Nekter Juice Bar,6,4.5,$$$,30.18507,-95.49025,The Woodlands,TX
Marble Slab Creamery,6,3.0,$,30.3344185,-95.4755362,Conroe,TX
Dairy Queen,2,1.0,N/A,30.695603,-95.552778,Huntsville,TX
Dairy Queen,16,1.5,$,30.3260231018066,-95.4644622802734,Conroe,TX
Marble Slab Creamery Inc,3,2.0,$,30.1671,-95.45391,Spring,TX
Cherry Berry,2,3.0,$$$,30.3099804,-95.404953,Conroe,TX
Sun & Sno,1,5.0,N/A,30.4054801126088,-95.5361598730087,Willis,TX
Sweet Frozen Bar,1,4.0,N/A,30.1703,-95.47202,The Woodlands,TX
Dairy Queen,11,2.0,$,30.1004600524902,-96.0779724121094,Hempstead,TX
Dippin' Dots,1,4.0,N/A,30.1657962799072,-95.4542770385742,The Woodlands,TX
Gokey's Old Town Emporium & Creamery,4,4.5,$,30.60557,-94.9475,Goodrich,TX
Dairy Queen,4,3.0,$,30.139785,-94.400931,Sour Lake,TX
Winkydoo's Ice Cream  & Malt Shop,10,5.0,$,30.213061,-93.3760151,Sulphur,LA
Sweet Frog Premium Frozen Yogurt,9,5.0,$,30.1817646026611,-93.2490234375,Lake Charles,LA
Yogurt Mountain,6,3.0,$$,30.2021784335375,-93.2187125086784,Lake Charles,LA
Sweet Life Ice Cream Parlor,1,5.0,N/A,30.1060655658499,-93.7476990588078,Orange,TX
Mr Snow,1,5.0,$,30.1763301,-93.2123536,Lake Charles,LA
Marble Slab Creamery,4,2.0,$,30.1934746652842,-93.1764777749777,Lake Charles,LA
Dairy Queen,19,2.0,$,30.1862901076011,-93.2493617758155,Lake Charles,LA
Pops and Rockets,1,5.0,$,30.228292,-93.218048,Lake Charles,LA
Dairy Queen,4,3.0,$,30.1161918640137,-93.746940612793,Orange,TX
Candyland Cottage,17,4.5,$,30.249085,-92.270041,Rayne,LA
Borden's Ice Cream Shoppe,48,4.0,$,30.22017,-92.01681,Lafayette,LA
Candyland Cottage & Ice Cream Shoppe,5,5.0,$$,30.242476,-92.10583,Scott,LA
Cajun Sno,29,4.5,$,30.1941509246826,-92.0561065673828,Lafayette,LA
Sub Zero Ice Cream,18,3.5,$,30.207121,-92.042005,Lafayette,LA
Jammin' Java,11,5.0,$$,30.1244911387464,-92.0327711105347,Lafayette,LA
Freddy's Frozen Custard & Steakburgers,18,3.5,$,30.1588736443725,-92.0455605251624,Lafayette,LA
Professor Bob Beans,23,4.0,$,30.1561706585123,-92.0452712103724,Lafayette,LA
Yogurtland,3,4.0,$,30.18915,-92.01316,Lafayette,LA
Freddy's Frozen Custard & Steakburgers,6,4.5,$,30.2128650666862,-92.0461422004729,Lafayette,LA
Dairy Queen,3,3.0,$,30.4948151,-92.4317724,Eunice,LA
Dairy Queen,6,4.0,$,30.2494624257088,-92.2695323824883,Rayne,LA
Smoothies 'n More,1,5.0,$$,30.2476774156094,-92.2680504620075,Rayne,LA
Bon Froyo,2,3.5,$,30.2655442112358,-91.9941055436533,Lafayette,LA
Frosty Inn,1,5.0,$,30.6928353820075,-92.262306449186,Ville Platte,LA
Top In Yogurt,2,2.5,$,30.3223077520201,-92.0308402788152,Carencro,LA
Baskin Robbins Ice Cream,3,3.5,$,30.1850681304932,-92.0664672851562,Lafayette,LA
Hershey's Ice Cream Featuring Great American Cookies,3,2.5,$,30.20189,-92.0533,Lafayette,LA
Crush Yogurt,1,1.0,N/A,30.10247,-92.00973,Youngsville,LA
Smoothie World,3,4.5,$,30.17628,-92.00277,Lafayette,LA
Sno N Joe,1,3.0,N/A,30.17154,-92.07975,Lafayette,LA
Yogurtland,45,4.5,$,30.43035,-91.11235,Baton Rouge,LA
Rock N' Pops,16,4.5,$,30.3796925318377,-91.0953008383512,Baton Rouge,LA
Yogurtland,18,4.5,$,30.4008,-91.176,Baton Rouge,LA
Counter Culture Frozen Yogurt,22,4.0,$,30.3939187,-91.1079168,Baton Rouge,LA
Marble Slab Creamery,15,3.5,$,30.4236314846713,-91.1287646825753,Baton Rouge,LA
Yogurt Bayou,1,5.0,$,30.6491583972862,-91.1578022882553,Zachary,LA
Nom Nom Yogurt,7,4.5,$,30.4522347450256,-90.9590151160955,Denham Springs,LA
Paradise Smoothie,52,4.0,$,30.459940335387,-91.0589729623919,Baton Rouge,LA
Freddy's Frozen Custard & Steakburgers,80,2.5,$,30.39099,-91.06156,Baton Rouge,LA
Baskin-Robbins,11,4.0,$,30.39152,-91.11189,Baton Rouge,LA
Pho Cafe,98,4.0,$,30.418103548332,-91.0513709172996,Baton Rouge,LA
Cade's Frozen Custard,5,4.0,$,30.236480698752,-90.9143435955048,Gonzales,LA
Brain Freeze Delights,1,5.0,$,30.4505114257336,-91.1511430889368,Baton Rouge,LA
Dairy Queen,19,2.5,$,30.422,-91.05212,Baton Rouge,LA
Menchie's Frozen Yogurt,17,3.5,$,30.388122328797,-91.0870310509346,Baton Rouge,LA
"MOOYAH Burgers, Fries & Shakes",133,4.0,$,30.3900723151404,-91.0603904954926,Baton Rouge,LA
Cool Tiger Ice Snoballs,7,4.5,$,30.4050914478951,-91.0163494810766,Baton Rouge,LA
Marble Slab Creamery,1,5.0,$$,30.385926,-91.084226,Baton Rouge,LA
Sno Man Snoballs,9,4.0,$,30.35877,-91.12173,Baton Rouge,LA
LSU AgCenter Dairy Store,5,3.5,$,30.4093655222033,-91.1778140270084,Baton Rouge,LA
Freddy's Frozen Custard & Steakburgers,14,3.0,$,30.440287,-91.024794,Baton Rouge,LA
Menchie's - Denham Springs,6,4.5,$,30.4499492,-90.9581629,Denham Springs,LA
Cold Stone Creamery,9,2.0,$$,30.4309047,-91.1117413,Baton Rouge,LA
D-Bro Sno,5,5.0,N/A,30.2693314430885,-90.9696618268833,Gonzales,LA
Baskin Robbins,1,4.0,$,30.3954944610596,-91.1577453613281,Baton Rouge,LA
River Queen Drive Inn,6,3.0,$,30.45158,-91.20983,Port Allen,LA
Tutti Frutti Gonzales,2,4.5,$$,30.2322254,-90.9076385,Gonzales,LA
Rainbow Delites,10,4.0,$,30.43332,-91.06562,Baton Rouge,LA
Geaux Yo,3,3.5,N/A,30.3510322570801,-91.1208419799805,Baton Rouge,LA
Baskin Robbins,3,3.5,$,30.3192878375529,-90.977260949659,Prairieville,LA
Baskin-Robbins,2,5.0,$,30.4583575576544,-91.0595878958702,Baton Rouge,LA
Tutti Frutti Watson,1,5.0,$$,30.5774645,-90.9566624,Denham Springs,LA
Tiger Treats,1,4.0,$,30.3915672004223,-91.0349350422621,Baton Rouge,LA
TCBY,5,2.0,$$,30.4302971,-91.1083693,Baton Rouge,LA
"MOOYAH Burgers, Fries & Shakes",23,4.0,$$,30.2087236357282,-90.9493526605831,Gonzales,LA
Snoman Snowball,1,4.0,$$,30.42131,-91.15128,Baton Rouge,LA
Baskin-Robbins,2,2.5,$,30.4766803337419,-90.9549755872399,Denham Springs,LA
Baskin-Robbins 31 Flavors Ice Cream Stores,6,1.5,$,30.43313,-91.10955,Baton Rouge,LA
Tutti Fruttti Of Baton Rouge,1,3.0,$,30.42455,-91.13147,Baton Rouge,LA
TCBY,2,1.0,N/A,30.6487255,-91.1571579,Zachary,LA
Baskin-Robbins,3,1.0,$$,30.4266350716352,-91.0540196299553,Baton Rouge,LA
Snow Day,1,4.0,$,30.42866,-91.02172,Baton Rouge,LA
Dairy Queen,1,3.0,$$,30.54784,-91.0531,Baton Rouge,LA
Sonic Drive-In,8,2.0,$,30.43645,-91.05695,Baton Rouge,LA
"MOOYAH Burgers, Fries & Shakes",6,4.5,$,30.45,-90.95816,Denham Springs,LA
"MOOYAH Burgers, Fries & Shakes",10,2.5,$$,30.396439,-91.156832,Baton Rouge,LA
Yogurt City,1,1.0,N/A,30.2443628758192,-90.9189234673977,Gonzales,LA
Sonic Drive-In,1,1.0,N/A,30.7854347229004,-91.369873046875,Saint Francisville,LA
Bop's Frozen Custard,15,4.5,$,30.368347,-90.072753,Mandeville,LA
Just Chillin,17,4.5,$,30.3951399028301,-90.0922626256943,Mandeville,LA
The Candy Bank,13,5.0,$$,30.35585,-90.07071,Mandeville,LA
Pinkberry,8,4.5,$,30.391922873461,-90.0849401950836,Mandeville,LA
Ziggys Snowballs,13,4.5,$,30.397670284059,-90.1005311213368,Mandeville,LA
Old Town Slidell Soda Shop,52,4.0,$,30.2740039676428,-89.7826217114925,Slidell,LA
Lili and Bubba's Sweet Shop,2,5.0,N/A,30.47826,-90.0986999,Covington,LA
Southern Delights,10,4.0,$,30.283995,-89.7674549,Slidell,LA
Skooters Grill & Yogurt,12,3.5,$$,30.404349,-90.156479,Madisonville,LA
TCBY,7,3.5,$,30.3738298,-90.0549272,Mandeville,LA
TCBY Slidell,12,4.0,$,30.2860457987673,-89.7456752881408,Slidell,LA
Tcby,5,4.0,$$,30.4552104,-90.1335836,Covington,LA
Counter Culture Frozen Yogurt,20,4.5,$$,30.2847174,-89.7777146,Slidell,LA
Just Chillin Too,4,5.0,$,30.3527077136139,-90.0405342465443,Mandeville,LA
Blu Skye,2,4.5,N/A,30.478371,-90.039406,Abita Springs,LA
Baskin Robbins,5,2.0,$,30.3970344,-90.0988555,Mandeville,LA
Crescent City Pops,2,5.0,N/A,30.36117,-90.06462,Mandeville,LA
Rainbow Daiquiris,4,5.0,$,30.43867,-90.44253,Ponchatoula,LA
Blue Bell Creameries,1,5.0,N/A,30.31266,-89.82172,Slidell,LA
Dairy Queen,2,4.5,$,30.2847576141357,-89.7677917778492,Slidell,LA
Bayou Snoballs,4,4.5,$,30.2626290236668,-89.7806991115103,Slidell,LA
Sweet Pea's Treats,2,5.0,N/A,30.844968,-90.1548198,Franklinton,LA
Papa Sams Snowballs,1,5.0,N/A,30.3960976,-90.0893736,Mandeville,LA
Pelican's Snoballs,2,3.0,$,30.2927669976147,-89.7929921373725,Slidell,LA
Rolling Cones,1,5.0,N/A,30.3725,-90.07911,Mandeville,LA
Baskin-Robbins Ice Cream & Yogurt,8,2.5,$,30.28393,-89.75483,Slidell,LA
Marble Slab,1,4.0,$,30.2688849,-89.7606815,Slidell,LA
Dairy Queen,5,3.5,$,30.2852429645503,-89.7674387320876,Slidell,LA
Primetime Sno-Biz,1,1.0,N/A,30.4899085,-90.094765,Covington,LA
Clowns Snowballs,1,4.0,N/A,30.2978307008743,-89.7607234865427,Slidell,LA
Pine Malt Stand,1,3.0,$,30.9167873114347,-90.0131924450397,Franklinton,LA
Pop Brothers,45,5.0,$$,30.36968,-89.09347,Gulfport,MS
Fahrenheit Cafe,21,3.5,N/A,30.41579,-88.81997,Ocean Springs,MS
Quakes Ice Creamery,41,4.0,$,30.4158477783203,-88.8101806640625,Ocean Springs,MS
Sal & Mookie's,187,4.0,$$,30.3938465118408,-88.8867111206055,Biloxi,MS
Ice Cream Corner,9,4.0,$,30.44917,-89.09742,Gulfport,MS
Smallcakes Cupcakery & Creamery,14,4.0,$$,30.4549949,-88.9032557,D'Iberville,MS
Friendly City Yogurt,9,4.0,$,30.349194,-89.151001,Long Beach,MS
Bop's Frozen Custard,21,3.0,$,30.4565978413343,-88.8880398461149,Diberville,MS
Ben and Jerry's,10,4.0,$$,30.3928006,-88.8883958,Biloxi,MS
Ice Cream & More,9,4.5,$,30.386379,-88.621322,Gautier,MS
Caboose Cones,2,3.0,$,30.4142532348633,-88.8271484375,Ocean Springs,MS
Pink Octopus Frozen Yogurt,8,4.0,$$,30.31723,-89.24262,Pass Christian,MS
Pop Brothers,4,5.0,$,30.4137274098542,-88.8264924163863,Ocean Springs,MS
Marble Slab Creamery,3,2.0,$,30.4375283,-89.0936911,Gulfport,MS
32 Degrees Yogurt Bar,6,3.0,$,30.439048,-89.092037,Gulfport,MS
Yogurt Mountain,9,2.5,$$,30.39195,-88.98999,Biloxi,MS
Dairy Queen,3,2.5,$,30.4406932036879,-88.8996807732173,D'Iberville,MS
Häagen-Dazs,2,2.0,$$,30.3930282592773,-88.8922958374023,Biloxi,MS
Monkey Joe's,4,3.0,$$,30.4135036468506,-88.7868945300579,Ocean Springs,MS
Bananas Mini Golf And Arcade,4,5.0,$$$$,30.400201165321,-89.0046096436351,Gulfport,MS
Dairy Queen,8,2.0,$,30.380701,-89.094703,Gulfport,MS
Snow Boogers,6,4.5,$,30.8114938437939,-89.0530487895012,Perkinston,MS
Sonic Drive Inn,4,1.5,$,30.4579029083252,-88.8926696777344,Diberville,MS
Freckles Ice Cream and Bakery,4,2.0,N/A,30.39721,-88.6519299,Gautier,MS
Sonic Drive-In,3,1.0,$,30.3711951,-89.093275,Gulfport,MS
Mr Gene's Beans,32,4.0,$,30.5220832824707,-87.904167175293,Fairhope,AL
Whit's Frozen Custard,7,5.0,$$,30.595257037754,-87.9027048758477,Daphne,AL
Matt's Homemade Ice Cream,151,4.5,$,30.262933,-87.688147,Gulf Shores,AL
Cammie's Old Dutch Ice Cream Shoppe,58,4.5,$,30.69098,-88.0997579,Mobile,AL
The Yard Milkshake Bar,47,3.5,$$,30.3013417662146,-87.6814836454587,Gulf Shores,AL
Island Ice Cream and Treats,24,4.5,$,30.244375,-87.71656,Gulf Shores,AL
Gelato Joe's,62,4.5,$$,30.39185,-87.68219,Foley,AL
Kaydens Candy Factory,34,4.5,$$,30.2738253893566,-87.5694153830409,Orange Beach,AL
Snow Zone,16,5.0,$$,30.6482049,-88.1632347,Mobile,AL
Shake's Frozen Custard,20,3.5,$,30.3640826046467,-87.6833526045084,Foley,AL
Chocolate Corner,32,5.0,$$,30.2646249,-87.6902697,Gulf Shores,AL
Flip Flop Deli Shop,76,5.0,$,30.2472,-87.6981,Gulf Shores,AL
Rita's of Fairhope,3,5.0,$,30.5220727622509,-87.8850205242634,Fairhope,AL
Scoops Olde Fashion Ice Cream Parlor,59,3.5,$,30.2528877258301,-87.6894226074219,Gulf Shores,AL
Cold Snap,8,4.0,$,30.67772,-88.14795,Mobile,AL
Peachwave Frozen Yogurt,5,4.0,$$$,30.3761426204643,-87.6774859428406,Foley,AL
Hershey's Ice Cream Parlor On The Beach,16,4.5,$,30.2828,-87.51469,Pensacola,FL
Rita's Italian Ice,12,4.5,$,30.3765796,-87.6834549,Foley,AL
TCBY,12,4.5,$,30.26292,-87.68882,Gulf Shores,AL
Frios Gourmet Pops,2,5.0,N/A,30.599493350298,-87.8986774219653,Daphne,AL
Chill Yogurt Cafe,3,4.5,$$,30.654995,-87.9046097,Daphne,AL
Rita's Italian Ice-Gulf Shore,25,3.5,$$,30.2510367050615,-87.6891924217582,Gulf Shores,AL
Sonic,8,3.0,$,30.6024203449488,-87.8983437269926,Daphne,AL
Connection Frozen Yogurt,3,5.0,N/A,30.7956853969705,-88.0740170033699,Saraland,AL
Dippin' Dots,3,5.0,$$,30.26881,-87.59127,Orange Beach,AL
Dippin' Dots,4,4.0,$$$,30.25395,-87.68843,Gulf Shores,AL
Dairy Queen,15,2.0,$,30.3016796,-87.6828156,Gulf Shores,AL
Dairy Queen,4,4.0,$,30.8294435,-88.0864989,Saraland,AL
Dairy Queen,16,1.5,$,30.6868735077073,-88.1734727724966,Mobile,AL
Dippin' Dots,3,2.5,N/A,30.6761388480663,-88.1503761559725,Mobile,AL
Dairy Queen,3,2.5,$,30.68224,-88.06843,Mobile,AL
Snobiz In Saraland,1,4.0,$,30.8127497881651,-88.0712563544512,Saraland,AL
Brodie's Cream and Bean,1,5.0,$,30.5457188428727,-87.7536875009537,Silverhill,AL
Dippin' Dots,3,3.5,$$,30.29275,-87.62903,Orange Beach,AL
Hurricane Sno,1,3.0,$,30.2543315887451,-87.6895141601562,Gulf Shores,AL
Polly's Sweet Treats,2,5.0,N/A,30.475742476548,-87.7050184831023,Summerdale,AL
Frost Bites,2,5.0,$,30.23655,-87.87722,Gulf Shores,AL
Dairy Queen,1,5.0,N/A,30.3924177005217,-87.6837421953678,Foley,AL
Dairy Queen,1,2.0,N/A,30.70083,-88.11687,Mobile,AL
Mr. Mac's Soda Shoppe,1,5.0,N/A,30.85261,-88.05772,Satsuma,AL
Dippin' Dots,1,5.0,N/A,30.2582,-87.63325,Orange Beach,AL
IC Station Stir Fry Ice Cream Roll,16,4.0,$$,30.41018,-86.8242,Navarre,FL
Shakes Frozen Custard,144,4.5,$,30.387165927677,-86.4684855937958,Destin,FL
Brusters Ice Cream,92,4.5,$,30.3874278880128,-86.4105824591777,Destin,FL
Hershey's Ice Cream,11,5.0,$,30.3876547287074,-86.476978990213,Destin,FL
Chill Yogurt,23,4.0,$,30.7372589,-86.565361,Crestview,FL
Tommy's Snoballs,33,4.5,$,30.4011927037946,-86.8630630365606,Navarre,FL
Cafe Liquid,34,4.5,$,30.51923404313,-86.479293194928,Niceville,FL
Bippy's By the Beach,32,3.5,$,30.41704,-86.60708,Fort Walton Beach,FL
Yogurt Mountain,21,4.5,$,30.3887501,-86.4765015,Destin,FL
Baskin-Robbins,16,4.0,$,30.4172172546387,-86.6075057983398,Fort Walton Beach,FL
Buchanan's Ice Cream and Soda Shop,3,5.0,$,30.7593288421631,-86.5703048706055,Crestview,FL
Ben & Jerry's - Miramar Beach,15,4.5,$$,30.3775006063155,-86.3322304940406,Miramar Beach,FL
Twirl Frozen Yogurt,13,4.0,$,30.3875760544406,-86.4250108584053,Destin,FL
Kilwins Destin Commons,23,4.5,$$,30.3920129957467,-86.4240721947463,Destin,FL
Culver's,67,3.0,$,30.403772354126,-86.8550567626953,Navarre,FL
Candymaker,26,3.5,$$,30.3851043,-86.4578916,Destin,FL
Bippy's by the Beach,3,4.5,$,30.4859120303614,-86.416858099401,Niceville,FL
Emerald Coast Italian Ice,2,5.0,N/A,30.3887,-87.08459,Gulf Breeze,FL
The Fudgery,14,3.5,$$,30.3953450918198,-86.5121854841709,Destin,FL
32 Degrees Yogurt Bar,14,4.0,$$,30.3787065064839,-86.351278424263,Destin,FL
The Local Market,39,4.5,$$,30.386374,-86.480543,Destin,FL
Yogo Mogos,8,2.5,$,30.39802,-86.59245,Fort Walton Beach,FL
Culver's of Destin,21,4.5,$,30.385247536017,-86.3811446081547,Destin,FL
Frozen Dune Cold Fried Ice Cream,9,3.5,$,30.378064,-86.38233,Miramar Beach,FL
Wine Not Florida,7,4.0,$$,30.3946957,-86.5116285,Destin,FL
Dippin' Dots,22,4.0,$,30.38272,-86.36124,Miramar Beach,FL
